combination,success_rate,successes,total_cases,theoretical_avg,ensemble_boost
"hybrid,ratio_low,votes_high",68.625,549,800,67.43333333333334,1.1916666666666629
"ratio_low,votes_high,bruno_custom",68.375,547,800,66.33333333333333,2.0416666666666714
"ratio_low,votes_high,votes_ratio",68.375,547,800,66.56666666666666,1.8083333333333371
"ratio_low,votes_high,adaptive_time",68.25,546,800,64.7,3.549999999999997
"hybrid,position_aware,adaptive_time",67.5,540,800,61.56666666666666,5.933333333333337
"hybrid,ratio_low,adaptive_time",67.25,538,800,64.23333333333333,3.0166666666666657
"hybrid,adaptive_time,votes_ratio",67.25,538,800,63.6,3.6499999999999986
"hybrid,ratio_low,bruno_custom",67.125,537,800,65.86666666666666,1.25833333333334
"hybrid,votes_high,position_aware",67.125,537,800,64.76666666666667,2.3583333333333343
"ratio_low,votes_high,position_aware",67.125,537,800,64.53333333333333,2.5916666666666686
"hybrid,votes_high,adaptive_time",66.875,535,800,64.93333333333334,1.9416666666666629
"hybrid,votes_high,bruno_custom",66.875,535,800,66.56666666666666,0.3083333333333371
"adaptive_time,bruno_custom,votes_ratio",66.875,535,800,62.5,4.375
"votes_high,position_aware,adaptive_time",66.75,534,800,62.03333333333333,4.716666666666669
"hybrid,ratio_low,votes_ratio",66.5,532,800,66.10000000000001,0.3999999999999915
"hybrid,adaptive_time,bruno_custom",66.5,532,800,63.36666666666667,3.133333333333333
"ratio_low,adaptive_time,votes_ratio",66.5,532,800,63.36666666666667,3.133333333333333
"hybrid,bruno_custom,votes_ratio",66.375,531,800,65.23333333333333,1.1416666666666657
"ratio_low,adaptive_time,bruno_custom",66.375,531,800,63.13333333333333,3.241666666666667
"votes_high,adaptive_time,votes_ratio",66.375,531,800,64.06666666666666,2.308333333333337
"hybrid,votes_high,votes_ratio",66.25,530,800,66.8,-0.5499999999999972
"votes_high,adaptive_time,bruno_custom",66.25,530,800,63.833333333333336,2.4166666666666643
"ratio_low,bruno_custom,votes_ratio",65.75,526,800,65.0,0.75
"votes_high,bruno_custom,votes_ratio",65.75,526,800,65.7,0.04999999999999716
"hybrid,ratio_low,position_aware",65.625,525,800,64.06666666666666,1.5583333333333371
"ratio_low,position_aware,adaptive_time",65.625,525,800,61.333333333333336,4.291666666666664
"position_aware,adaptive_time,bruno_custom",65.5,524,800,60.46666666666667,5.033333333333331
"hybrid,position_aware,bruno_custom",65.25,522,800,63.199999999999996,2.0500000000000043
"votes_high,position_aware,votes_ratio",65.125,521,800,63.9,1.2250000000000014
"votes_high,position_aware,bruno_custom",65.0,520,800,63.666666666666664,1.3333333333333357
"hybrid,position_aware,votes_ratio",64.5,516,800,63.43333333333334,1.0666666666666629
"ratio_low,position_aware,votes_ratio",63.87500000000001,511,800,63.199999999999996,0.6750000000000114
"ratio_low,position_aware,bruno_custom",63.74999999999999,510,800,62.96666666666667,0.7833333333333243
"position_aware,adaptive_time,votes_ratio",63.5,508,800,60.699999999999996,2.8000000000000043
"position_aware,bruno_custom,votes_ratio",62.375,499,800,62.333333333333336,0.0416666666666643
