algorithm,time_category,cases,successes,success_rate,avg_time_hours
bruno_custom,≤1h,26,20,76.92307692307693,0.31715811965811963
bruno_custom,1-6h,107,72,67.28971962616822,4.617331256490134
bruno_custom,6-12h,427,265,62.06088992974239,8.58992193598751
bruno_custom,12-24h,314,205,65.28662420382165,16.61501592356688
bruno_custom,1-2d,2,0,0.0,26.504166666666666
bruno_custom,>2d,400,253,63.24999999999999,96.85718055555557
position_aware,≤1h,26,20,76.92307692307693,0.31715811965811963
position_aware,1-6h,107,62,57.943925233644855,4.617331256490134
position_aware,6-12h,427,248,58.07962529274005,8.58992193598751
position_aware,12-24h,314,192,61.146496815286625,16.61501592356688
position_aware,1-2d,2,0,0.0,26.504166666666666
position_aware,>2d,400,224,56.00000000000001,96.85718055555557
